id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
11316_20140829,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1567.6662589445,-1560.91017639523,-1562.91017639523,-1567.1327526633,0.0539593082413741,6.37578714349037,2.87714919997401,0.998300613500304,17.7635605692696
11317_20141009,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1627.20950905434,-1619.01477670609,-1621.01477670609,-1625.23735297416,0.0406467354824477,-2.37064304901071,2.78130549987088,0.0854388787818792,16.1400780698381
11318_20141029,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1497.95388914232,-1490.26944666782,-1492.26944666782,-1496.49202293589,0.0648684775702176,0.351292157335145,2.69436571097065,0.58693088859474,14.7961307528363
11319_20140924,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1629.11655426135,-1623.28042779981,-1625.28042779981,-1629.50300406788,0.0324181376135325,5.04266866498529,3.01080462782082,0.993584923823184,20.303730300689
11320_20140908,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-1582.53736810383,-1576.14312441171,-1578.14312441171,-1582.23216928716,0.00647728482729326,-2.9266765579137,2.65900311567147,0.0508504906968621,14.2820444534304
11321_20140904,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-11.7378774625145,-11.0683147437738,-13.0683147437738,-17.2908910118451,0.994047613281392,-3.08782270522884,-1.96043619676384,0.0436123604333681,0.140796992332129
11322_20140918,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-12.1137885177258,-11.0667500928384,-13.0667500928384,-17.1557949682853,0.993197278864834,-3.21741303315833,-3.25125862098864,0.038515672326081,0.0387254364986771
11323_20141209,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1407.25293880959,-1398.84855606886,-1400.84855606886,-1405.07113233693,0.0649769969088757,-2.7684612363057,2.39611516362854,0.0590524572848882,10.9804362171326
11324_20141009,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1660.70790307266,-1652.72757832244,-1654.72757832244,-1658.95015459051,0.0321825454524062,-0.989336929998555,2.6503300818868,0.271043066283739,14.1587114083125
11325_20140918,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-12.0802315301365,-11.0666914883449,-13.0666914883449,-17.2892677564163,0.994047619044446,-3.39393116043833,-2.95831335892341,0.0324856702106408,0.0519063908345726
11326_20141006,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1772.70360860823,-1767.05131145413,-1769.05131145413,-1773.2738877222,0.0122352729586696,4.93480019169953,3.47173249965196,0.992859456257634,32.1924675978193
11328_20141023,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1458.7221088908,-1452.68012039619,-1454.68012039619,-1458.90269666426,0.0615120824575629,5.44660303606277,2.69686440973621,0.995707580395007,14.8331480547669
11329_20141105,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1532.30685709482,-1526.64033423348,-1528.64033423348,-1532.86291050155,0.0467923547707527,4.42463452963418,2.94062408996667,0.988163199836213,18.9276551866663
11331_20141120,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-11.8177332309771,-11.0808896731832,-13.0808896731832,-17.16993454863,0.993196646492314,-3.32257359634468,-1.74194044589495,0.0348048489130002,0.175180143008645
11335_20141103,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1714.15421633456,-1706.73805051917,-1708.73805051917,-1712.96062678724,0.0129886969904531,-1.90044443221498,2.84290476871244,0.13005818167821,17.1655551560222
11336_20141121,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-8.40419114206904,-7.42082352012947,-9.42082352012947,-13.6433997882008,0.99602625498187,-3.3829421546366,-2.10085082768768,0.0328328386151863,0.122352283244301
11337_20141111,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1678.35623522417,-1672.83667129529,-1674.83667129529,-1679.05924756336,0.0234032787441494,3.7469698883394,3.25469118994612,0.9769545074553,25.9116115322054
11338_20141110,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1812.15891620473,-1806.08143863246,-1808.08143863246,-1812.30401490053,0.00398284071929766,-2.19870276960955,2.99438069430038,0.0998670413349989,19.9729866743652
11342_20150228,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-12.4971674662676,-11.1079198156502,-13.1079198156502,-17.3304960837216,0.994045603730156,-2.97136037050147,-1.80518761882854,0.0487366156440997,0.164443600966924
11343_20150110,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1785.88913512804,-1779.82580049068,-1781.82580049068,-1786.04837675875,0.0069067648581006,-3.0764286263915,2.6971847441485,0.0440900902179264,14.8379003836581
11344_20141118,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-12.0167306336483,-11.109927328944,-13.109927328944,-17.3325035970153,0.994044526784335,-3.15342622453892,-1.60885409863822,0.0409564874779939,0.200116796849665
11345_20141229,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1705.97500138921,-1699.3620803516,-1701.3620803516,-1705.58465661967,0.0227097688554386,6.58289874792356,3.21961643310309,0.99861808025009,25.018522063822
11346_20141230,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-12.0187562383982,-11.1223417615924,-13.1223417615924,-17.3449180296637,0.994043422530415,-3.37172453980161,-1.75955894171326,0.0331909250139959,0.172120762372543
11347_20141217,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1568.18651806508,-1562.42779655119,-1564.42779655119,-1568.65037281926,0.0405656496758963,5.0233230055976,2.94543296345703,0.993460431217233,19.0188950906772
11350_20141204,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1740.42445437065,-1732.82587145055,-1734.82587145055,-1739.04844771863,0.0209811354794532,-0.34113404847192,3.24392789263007,0.415534029460445,25.6342126944457
11353_20141230,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1633.12791023951,-1626.69475662137,-1628.69475662137,-1632.91733288944,0.0300886619508013,6.20639333689607,3.00983175558656,0.997987560887294,20.2839869706537
11366_20150430,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1488.60067823175,-1481.98193429485,-1483.98193429485,-1488.20451056292,0.0660653096786172,1.5959277496931,2.88132022335868,0.83144846220581,17.8378075310638
